State,Varroa Mites,Diseases,Pesticides,Percent Lost
Alabama,10,0,2.2,12
Arizona,26.9,0.1,0,11
Arkansas,17.6,1.5,3.4,23
California,24.7,3,7.5,15
Colorado,14.6,1.8,0.6,4
Connecticut,2.5,0,0,9
Florida,22.3,0.8,8.9,15
Georgia,6.2,3.3,2.6,11
Hawaii,38.8,1.6,0,2
Idaho,39.8,12.5,4.8,9
Illinois,12.3,0.7,0.4,26
Indiana,20.7,0.2,0.3,12
Iowa,26,4.6,3.4,14
Kansas,32.7,1.1,14.2,33
Kentucky,10.8,2.5,2.5,20
Louisiana,17.2,4.3,1.7,7
Maine,4.4,0,0,7
Maryland,10.1,0.4,0,29
Massachusetts,23.5,2.1,2.8,18
Michigan,14.3,1.1,1.6,20
Minnesota,1.4,0,0.1,5
Mississippi,9.4,0.1,2.1,8
Missouri,13.1,2.2,4.2,13
Montana,8.7,0.6,0.8,5
Nebraska,5.9,0.1,0.5,15
New Jersey,40.1,30.4,11.1,5
New Mexico,17.1,0,0.2,4
New York,7.6,0.5,4.4,14
North Carolina,35.5,0.1,22.9,12
North Dakota,1.7,0,0,1
Ohio,10.7,1,3,28
Oklahoma,14.5,0.5,0,0
Oregon,20.2,0.4,0.6,8
Pennsylvania,28.1,1.9,1.9,19
South Carolina,10.5,0.2,0.3,5
South Dakota,1.2,0.3,0.5,6
Tennessee,22.2,0,0,21
Texas,21.5,5,11.1,5
Utah,13.6,0.1,4.4,16
Vermont,2.3,0,0,4
Virginia,19,2.3,0,20
Washington,21.5,0.3,3.6,9
West Virginia,18,2.2,2.1,19
Wisconsin,18.8,2.7,8.5,22
Wyoming,0.9,0,0,3
Other States 4/,0.8,0,0.1,10
United States,25.2,3.1,7.4,15
,,,,
0  Less than half of the unit shown.,,,,
"1/ Tracheal mites, nosema, hive beetle, wax moths, etc.",,,,
"2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc.",,,,
"3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc.",,,,
"4/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations.",,,,
