,Mites,Diseases  ,Pesticides,LostPercen,Colonies,MaxColonies,LostColonies,AddedColonies,RenovateColoniesq,RenovatePercent,,21.4,0.4,1.8
Alabama,19.9,0.2,3.2,23,7000,7000,1600,570,740,11,,25.29787234,5.3,3.146808511
Arizona,35.6,3.8,1.7,19,31000,32000,6000,2900,0,0,,,,
Arkansas,31.5,0.1,0.5,18,18000,20000,3500,430,230,1,,,,
California,37.7,7.5,9.2,13,1170000,1470000,195000,137000,93000,6,,,,
Colorado,17,N/A,0.9,5,9500,21000,1100,100,0,0,,,,
Connecticut,51.5,0,0,12,3100,3100,380,100,110,4,,,,
Florida,37.6,1.5,14.2,11,260000,265000,30000,78000,34000,13,,,,
Georgia,35.3,0.2,2.6,11,123000,125000,14000,25000,21000,17,,,,
Hawaii,1.2,0.2,0,1,13000,13000,190,510,50,N/A,,,,
Idaho,74.2,42.3,21.2,9,95000,99000,8500,2000,280,N/A,,,668,
Illinois,21.2,0.5,3.7,26,11000,11000,2900,3100,150,1,,,,
Indiana,15.8,5.2,4.1,25,7000,7500,1900,1700,70,1,,,,
Iowa,33.6,8.4,12,19,10000,15500,3000,70,0,0,,,,
Kansas,47.2,0,3.6,26,3800,3800,1000,930,380,10,,,,
Kentucky,31.9,0.4,3.8,19,6500,7000,1300,950,430,6,,,,
Louisiana,25.8,0.1,1.8,6,44000,47000,2700,11000,1900,4,,,,
Maine,23.9,30.5,8.1,32,2700,3100,1000,100,0,0,,,,
Maryland,11.3,1,1,23,9000,9000,2100,770,260,3,,,,
Massachusetts,32.5,3,4.5,45,3300,3300,1500,120,110,3,,,,
Michigan,7.9,0,1.9,8,29000,59000,5000,600,130,N/A,,,,
Minnesota,2.1,0.1,0.9,9,27000,41000,3500,3300,0,0,,,,
Mississippi,41.7,N/A,0.1,4,31000,68000,2600,23000,7000,10,,,,
Missouri,16.6,0.5,2.7,16,7000,7500,1200,400,10,N/A,,,,
Montana,34,0,2.5,1,18500,46000,470,3100,6000,13,,,,
Nebraska,14.8,0.4,0,6,7500,13000,750,120,0,0,,,,
New Jersey,16.3,0.3,0.1,8,6000,6000,490,10,0,0,,,,
New Mexico,93.9,87.4,0,38,5500,5500,2100,3600,0,0,,,,
New York,20.4,9.8,4.4,18,32000,33000,6000,520,0,0,,,,
North Carolina,34.7,0.2,1.5,11,16000,23000,2500,3700,1200,5,,,,
North Dakota,0.8,0,0,1,50000,123000,640,1100,10,N/A,,,,
Ohio,25.8,0.6,0.1,25,15500,17500,4400,1300,530,3,,,,
Oklahoma,11.9,0,0.1,2,26000,26000,550,9500,1700,7,,,,
Oregon,28.7,10.1,9.1,9,71000,90000,8000,7500,1400,2,,,,
Pennsylvania,20.9,0.8,2.9,22,17000,18000,4000,810,390,2,,,,
South Carolina,12.6,0.4,1.1,9,17000,17500,1600,4700,970,6,,,,
South Dakota,2.9,0,0,6,21000,48000,2700,1500,440,1,,,,
Tennessee,28.6,0.9,2.4,19,8500,8500,1600,1500,160,2,,,,
Texas,36.2,2,5.1,14,275000,340000,49000,130000,68000,20,,,,
Utah,38.7,0.1,0,14,16000,19000,2700,3900,60,N/A,,,,
Vermont,6,2.1,0.2,7,6500,6500,440,0,0,0,,,,
Virginia,21.4,2.8,3.2,18,8000,8000,1400,1900,280,4,,,,
Washington,6.8,0,0,9,68000,104000,9000,8500,0,0,,,,
West Virginia,15.8,0.2,0,10,5500,8000,800,450,100,1,,,,
Wisconsin,19,1.1,2,20,17000,22000,4400,450,70,N/A,,,,
Wyoming,0.2,0.2,0,21,6500,17000,3600,1300,0,0,,,,
Other States 4/,3.4,6.6,2.6,24,6190,6490,1540,130,50,1,,,,
United States,42.2,7,8.9,15,2641090,(X),398650,478240,241210,9,,,,
,,,,,,,,,,,,,,
N/A  Less than half of the unit shown.,,,,,,,,,,,,,,
"1/ Tracheal mites, nosema, hive beetle, wax moths, etc.",,,,,,,,,,,,,,
"2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc.",,,,,,,,,,,,,,
"3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc.",,,,,,,,,,,,,,
"4/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations.",,,,,,,,,,,,,,
