,Colonies,LostColonies,LostPercen,Varroa Mites,Diseases,Pesticides
Alabama,5500,650,12,27.2,1.8,0.3
Arizona,22000,2500,11,25.8,6.5,16.2
Arkansas,28000,6500,23,19.5,3.3,55.3
California,1140000,235000,15,43.5,6.4,12.3
Colorado,5000,320,4,11.2,0,0
Connecticut,3100,270,9,10.1,0,0
Florida,300000,46000,15,46.9,5.5,22.9
Georgia,120000,14500,11,69.6,7.4,9.6
Idaho,132000,12500,9,24.5,8,9.2
Illinois,9000,2300,26,33.3,3.1,0.7
Indiana,6000,710,12,15.6,2.6,5.5
Iowa,7500,1600,14,34.8,0.6,0.3
Kansas,4500,1500,33,102,2.5,12.2
Kentucky,3700,890,20,21.6,0.1,5.3
Louisiana,49000,3500,7,57.8,0.1,0.3
Maine,7000,470,7,2.3,0,0
Maryland,8000,2300,29,12.6,0.2,(Z)
Massachusetts,3800,680,18,10.3,0,4.3
Michigan,24000,6500,20,18.2,1.5,0.2
Minnesota,17000,2200,5,1.3,1.9,0
Mississippi,26000,2400,8,14.6,64.8,48.4
Missouri,8500,1100,13,5.4,1.9,0.5
Montana,37000,3500,5,15.1,0,0.8
Nebraska,13500,2500,15,32.3,32,0.8
New Jersey,6000,310,5,15.3,0,0
New Mexico,4800,170,4,3.5,0.6,0
New York,24000,3400,14,10.6,1.7,1.7
North Carolina,10500,1700,12,16.4,0.2,0.7
North Daokta,92000,1100,1,6.9,0,6.5
Ohio,10500,3500,28,49.3,11.1,1.1
Oklahoma,21000,50,(Z),7.7,0,0
Oregon,89000,7500,8,18,0.2,0.2
Pennsylvania,15000,2900,19,15.3,3.7,4
South Carolina,12000,690,5,18.5,(Z),1.7
South Dakota,18500,1100,6,0.8,0,2.5
Tennessee,6000,1500,21,62.8,5.1,0.9
Texas,260000,17000,5,26.1,5.3,8.3
Utah,8500,1800,16,22.9,0.1,0
Vermont,6500,260,4,6.2,2.4,0
Virginia,5500,1100,20,16.6,0.8,0.3
Washington,51000,7000,9,22.3,0.6,0.3
West Virginia,5000,1300,19,10.3,1.1,0.2
Wisconsin,16500,3700,22,15.9,0.7,1.1
Wyoming,6500,250,3,0.7,0.1,0
