field_1,Colonies,LostColonies,LostPercen,Diseases,Pesticides,VarroaMites,disease,pesticide
Alabama,"5500","650","12","1.8","0.3",,,
Arizona,"22000","2500","11","6.5","16.2",,,
Arkansas,"28000","6500","23","3.3","55.3",,,
California,"1140000","235000","15","6.4","12.3",,,
Colorado,"5000","320","4","0","0",,,
Connecticut,"3100","270","9","0","0",,,
Florida,"300000","46000","15","5.5","22.9",,,
Georgia,"120000","14500","11","7.4","9.6",,,
Idaho,"132000","12500","9","8","9.2",,,
Illinois,"9000","2300","26","3.1","0.7",,,
Indiana,"6000","710","12","2.6","5.5",,,
Iowa,"7500","1600","14","0.6","0.3",,,
Kansas,"4500","1500","33","2.5","12.2",,,
Kentucky,"3700","890","20","0.1","5.3",,,
Louisiana,"49000","3500","7","0.1","0.3",,,
Maine,"7000","470","7","0","0",,,
Maryland,"8000","2300","29","0.2",(Z),,,
Massachusetts,"3800","680","18","0","4.3",,,
Michigan,"24000","6500","20","1.5","0.2",,,
Minnesota,"17000","2200","5","1.9","0",,,
Mississippi,"26000","2400","8","64.8","48.4",,,
Missouri,"8500","1100","13","1.9","0.5",,,
Montana,"37000","3500","5","0","0.8",,,
Nebraska,"13500","2500","15","32","0.8",,,
New Jersey,"6000","310","5","0","0",,,
New Mexico,"4800","170","4","0.6","0",,,
New York,"24000","3400","14","1.7","1.7",,,
North Carolina,"10500","1700","12","0.2","0.7",,,
North Daokta,"92000","1100","1","0","6.5",,,
Ohio,"10500","3500","28","11.1","1.1",,,
Oklahoma,"21000","50",(Z),"0","0",,,
Oregon,"89000","7500","8","0.2","0.2",,,
Pennsylvania,"15000","2900","19","3.7","4",,,
South Carolina,"12000","690","5",(Z),"1.7",,,
South Dakota,"18500","1100","6","0","2.5",,,
Tennessee,"6000","1500","21","5.1","0.9",,,
Texas,"260000","17000","5","5.3","8.3",,,
Utah,"8500","1800","16","0.1","0",,,
Vermont,"6500","260","4","2.4","0",,,
Virginia,"5500","1100","20","0.8","0.3",,,
Washington,"51000","7000","9","0.6","0.3",,,
West Virginia,"5000","1300","19","1.1","0.2",,,
Wisconsin,"16500","3700","22","0.7","1.1",,,
Wyoming,"6500","250","3","0.1","0",,,
